Record,Current name (from Valid Names),Galls,Name in record,Source,Description,Host associations mentioned,Photos,Page link,Taxonomic Info,Biology Note,Phenology,Range,Original Description?
129,Amphibolips quercusinanis,Amphibolips quercusinanis,Cynips quercus inanis,"""Additions and corrections to the paper entitled """"On the Cynipidae of the North American Oaks and their Galls""""""","Q coccinea. Scarlet oak? Large, more or less round gall, not attenuated towards the basis; surface glossy; shell thin and brittle; on the inside whitish filaments radiating from the kernel to the shell. Diameter about an inch.
Among the specimens of my collection, I find a number of galls, collected in one locality and somewhat different in shape from the typical specimens of C q inanis. The latter are more or less globular, the leaf being, so to say, the tangent of the globe. There is no distinct point or nipple on the top. The other gall, on the contrary, is somewhat lemon-shaped, being attenuated at its basis with a corresponding elongation, ending in a minute nipple, at the opposite end. Its color is more brownish than that of C q inanis; on the inside, I did not detect any difference between both galls. The tree is also either the red or the scarlet oak. ",Quercus coccinea,,https://www.biodiversitylibrary.org/item/22852#page/284/mode/1up,,,,,No
130,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips coccineae,A manual for the study of insects,"The Fibrous Oak-apple. Amphibolips coccineae. There are several large, spherical galls, common on oaks, which have received the name of oak-apples. These galls resemble each other quite closely in their external appearance, but differ much in their internal structure. The one which we name the Fibrous Oak-apple is represented by Figure 746. In the centre of the gall there is a small, hollow kernel, in the cavity of which the gall-fly is developed. The space between this kernel and the dense outer layer of the gall is filled with many fibres, which radiate from the kernel. This gall is found on the scarlet oak, and varies in size from three fourths inch to two inches in diameter.",Quercus coccinea,,https://www.biodiversitylibrary.org/page/58084148#page/646/mode/1up,[A coccineae is listed as a synonym of A quercusspongifica by Beutenmuller and Krombein but this description seems to match A quercusinanis instead],,,,No
131,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips spongifica,A manual for the study of insects,"The Spongy Oak-apple, is most common on red oak, but it occurs also on the black oak. In this gall the space between the kernel and the outer layer is quite densely filled with a porous mass, which suggests the name spongy.","Quercus rubra,Quercus velutina",,https://www.biodiversitylibrary.org/page/58084148#page/646/mode/1up,,,,,No
132,Amphibolips quercusinanis,Amphibolips quercusinanis,Holcaspis inanis,A manual for the study of insects,"The Larger Empty Oak-apple. There are two oak apples which are very similar in structure, and which may be termed the empty oak apples. In these the space between the central kernel and the outer shell contains only a few, very slender, silky filaments, which hold the kernel in place. The larger of these two galls measures an inch or more in diameter, and is found on the scarlet oak and the red oak.","Quercus rubra,Quercus coccinea",,https://www.biodiversitylibrary.org/page/58084148#page/647/mode/1up,,,,,No
133,Atrusca quercuscentricola,Atrusca quercuscentricola,Holcaspis centricola,A manual for the study of insects,The Smaller Empty Oak-apple is found on the post-oak and measures three fourths of an inch or less in diameter. It also differs from the preceding in that the outer shell is mottled.,Quercus stellata,,https://www.biodiversitylibrary.org/page/58084148#page/647/mode/1up,,,,,No
134,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips spongifica,Cynipid Galls of the Chicago Area,"Large spongy oak apple. Galls appear with the leaves in spring, becoming 40 mm in diameter, green until full grown early in May, turning brown about the time the flies, males and females, emerge the latter half of June. On Q velutina.",Quercus velutina,,https://www.biodiversitylibrary.org/page/57505976#page/195/mode/1up,,,,,No
135,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluentus,Cynipid Galls of the Chicago Area,"Similar [to Amphibolips spongifica] but the adults, all females, emerge in Nov. Probably an alternating generation of the above but the life history needs further study.",,,https://www.biodiversitylibrary.org/page/57505976#page/195/mode/1up,,,,,No
136,Andricus quercusostensackenii,Amphibolips quercusostensackenii,Andricus singularis,Cynipid Galls of the Chicago Area,"Smaller oak apple. Diameter 14 mm a third of the sphere projecting from the upper surface of the leaf, the rest on the under side, seldom more than one on a leaf, green, not spotted. On Q rubra in May and June, the adults emerging early in July.",Quercus rubra,,https://www.biodiversitylibrary.org/page/57505976#page/195/mode/1up,,,"May, June, July",,No
137,Andricus quercusostensackenii,Amphibolips quercusostensackenii,Andricus osten sackenii,Cynipid Galls of the Chicago Area,"Similar [to Andricus singularis] but smaller, diameter about 8 mm, on Q coccinea in June. Adults emerged July 8-15.",Quercus coccinea,,https://www.biodiversitylibrary.org/page/57505976#page/195/mode/1up,,,"June, July",,No
138,Amphibolips confluenta,Amphibolips quercusspongifica,Amphibolips confluentus,"""Insect galls of Springfield, Massachusetts, and vicinity""","A globular gall found attached to leaf by small portion. Monothalamous; larval cell surrounded by brown spongy mass, and that by a rather smooth thickened wall. Pale green and soft while fresh, turning brown and brittle. 2-4 cm in diameter. Common on black, red, and scarlet oaks. Begins growth about May. Males and females emerge in June. Some females remain until October (C aciculata OS) A good example of dimorphism.","Quercus rubra,Quercus coccinea,Quercus velutina",,https://www.biodiversitylibrary.org/page/21941225#page/22/mode/1up,,,"May, June",,No
139,Amphibolips quercusinanis,Amphibolips quercusinanis,Amphibolips inanis,"""Insect galls of Springfield, Massachusetts, and vicinity""","This is a spherical gall with thin walls from which many fibers extend towards the center, these holding in place the cell in which the larva develops. The gall is between 15 and 30 mm in diameter, light yellow-green changing to light brown. Common on leaves of scarlet and red oak. Matures in june.","Quercus coccinea,Quercus rubra",,https://www.biodiversitylibrary.org/page/21941225#page/23/mode/1up,,,June,,No
140,Andricus quercusostensackenii,Amphibolips quercusostensackenii,Andricus quercussingularis,Review of the world genera of oak cynipid wasps (Hymenoptera: Cynipidae: Cynipini),,,,https://www.researchgate.net/profile/Warren_Abrahamson/publication/254570300_Review_of_the_world_genera_of_oak_cynipid_wasps_Hymenoptera_Cynipidae_Cynipini/links/0deec52b85f3e817a3000000/Review-of-the-world-genera-of-oak-cynipid-wasps-Hymenoptera-Cynipidae-Cynipini.pdf,"A quercusostensackenii, comb. nov. (=Andricus quercussingularis)",,,,No
141,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluenta,"""Current state of knowledge of heterogony in Cynipidae (Hymenoptera, Cynipoidea)""",,,,https://www.researchgate.net/profile/J_Pujade-Villar/publication/39095093_Current_state_of_knowledge_of_heterogony_in_Cynipidae_Hymenoptera_Cynipoidea/links/02e7e53b6c35e8cc3d000000.pdf,"Walsh supported the idea about alternate generations in Amphibolips confluens, but no direct experiments were carried out.
In some cases, studies on life cycles were taken by some specialists with scepticism, as in the case of Walsh's studies on Amphibolips confluens in United States. 
Table 2: Agamic form: Amphibolips confluenta (Harris) Sexual form: known, not named ?",,,,No
142,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluens,A contribution to the morphology and biology of insect galls ,"A monothalamous gall attached to the petiole or midrib of the leaf. The midrib is never continued beyond the point of origin of the gall.
Globular to prolate spheroidal in shape and invariably terminating in a minute point. The thick walled larval cell at the centre of the gall is surrounded by a sponge-like mass of fibres that is at first white but becomes dark brown when the gall is dry. At a very early stage of development the epidermis of the gall is pubescent but later it becomes smooth. The colour is at first green but this changes to a lustrous light brown when the gall is old. Dimensions:—Average diameter 4o mm. 
(a) Stage in which the gall is 2 mm. in diameter. Almost the entire gall consists of a compact tissue, which is composed of small uniform cells. Lines of narrow elongated cells, however, pass in a radial direction throughout this tissue. These cells do not extend into the gall cavity nor out to the epidermis, they traverse about two-thirds of the gall radius. As they approach the epidermis the lines curve around and run parallel to its surface. Spiral vessels are in some cases differentiated in these rays and the elements are more numerous near the point of attachment of the gall. 
(b) Older stage 9 mm. in diameter. The gall wall can now be divided roughly into three sections. That part lying next the larval cell resembles closely the compact tissue described in the preceding stage, except that immediately adjoining the cavity a typical nutritive layer has been formed by the elongation of the cells in a radial direction. In the centre zone the lines of cells containing the vessels are much more apparent at this stage, since the intervening tissue has become loose and skeleton-like. The cells composing it are long, very narrow and frequently branched. In many cases a branch is attached to the main cell without the formation of an intersecting partition between the two. The outside zone of the three is composed of somewhat elliptical cells. These form a fairly firm tissue constituting the rind of the gall. 
(c) Mature stage. The protective zone is now the most characteristic feature of the anatomical structure. The part of the protective sheath adjoining the larval cavity consists of a few layers of elliptical cells arranged in tangential rows. The sclerenchymatous deposits on the outside walls of these cells are much heavier than those on the inside. Further out the protective cells are formed in radial rows and their walls are uniformly thickened. This protective strengthening of the cell walls extends even into the loosely arranged filament-like cells, some of which are heavily sclerified.
",Quercus coccinea,,https://www.biodiversitylibrary.org/page/26367605#page/97/mode/1up,,,,,No
143,Amphibolips quercusinanis,Amphibolips quercusinanis,Amphibolips inanis,A contribution to the morphology and biology of insect galls ,"Resembles the preceding species [A confluenta] in external appearance and in its attachment to the midrib or the petiole of the leaf. In shape it is more nearly spherical than A. confluens Harr. and it has a much thinner rind than is found in that species. The epidermis of the gall, which is at first green with dark spots, becomes light brown with darker patches at a later stage. The larval cell in this case is held in position by a number of fine radiating fibres. Dimensions:—Average diameter 35 mm. In the earlier stages the anatomical structure of this gall is practically the same as A. confluens Harr. The vascular strands surrounded by elongated cells are present, but as the gall becomes older the connecting tissue from between the strands disappears. In the mature gall the protective zone is very apparent. It consists of 8 to to rows of comparatively small elliptical cells. The walls of these cells are uniformly thickened, constituting a porous sclerenchyma. ","Quercus coccinea,Quercus rubra",,https://www.biodiversitylibrary.org/page/26367605#page/98/mode/1up,,,,,No
144,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluentis,Insect Galls of Ontario,"Thin walled and globular, about 4 cm in diameter. Exterior surface smooth (not pubescent) and somewhat irregular. Interior filled with a spongy mass of fibres, very loosely attached to the exterior but tightly attached to an interior woody cell in which the larva lives. Green in the early part of the season, later turning brown and brittle. Generally produced on the upper part of the leaf from the end of one of the veins. Occurs on Red Oak and other closely related species. Common.",Quercus rubra,,https://www.biodiversitylibrary.org/page/40931581#page/322/mode/1up,,,,ON,No
145,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluentus,Insects affecting park and woodland trees,"This is one of our common oak galls. It is nearly globular in shape, greenish or brown in color dependent on its age, and its interior is filled with a spongy mass in the center of which is a single larval cell. This species is occasionally quite abundant on trees, as may be seen by reference to plate 50, figure 1, though it cannot be considered injurious. [The figure in Felt's plate seems to be what we would now call Amphibolips quercusinanis]",,P50F1,https://www.biodiversitylibrary.org/page/58122706#page/299/mode/1up,Mr Beutenmuller states that a certain number of these galls produce both males and females in June and others females in October or the following spring. These latter are merely a dimorphic form.,,,,No
146,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluentis,A catalogue of the gall insects of Ontario,,,PEF2,https://www.biodiversitylibrary.org/page/27900549#page/517/mode/1up,,,,ON,No
147,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluentus,Insect-galls of the vicinity of New York City,"Large, globular, more or less smooth outside and filled with a spongy substance in the center of which is a hard woody kernel containing the larval cell. From 1 to 2 in in diameter. When fresh, it is pale green, soft and succulent, with the contents whitish. Later in the season the shell becomes brown, hard and brittle, with the kernel woody and the spongy substance dark brown, but remaining soft. Confined to the leaves of the trees belonging to the red oak group. Common.",,14,https://www.biodiversitylibrary.org/page/12267172#page/248/mode/1up,,,,NY,No
148,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips confluens spongifica,Insect galls of Cedar Point and vicinity,"Leaf-gall, globular, suppressing part or all of leaf, at first green, soon becoming light brown, with shiny, paper wall, containing a spongy mass of radiating fibres covered with down, which hold in place the oblong central larval chamber. 3-5 cm in diameter. Common at Huron. ",Quercus rubra,25,https://www.biodiversitylibrary.org/page/50337404#page/460/mode/1up,"This insect shows an alternation of generations, hence the long list of synonyms.",,,OH,No
149,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluens,Life histories of American Cynipidae,,,,https://www.biodiversitylibrary.org/page/52079430#page/9/mode/1up,"Walsh had reported in great detail the discovery of two very different forms of adults, one agamic and the other bisexual, emerging at different times of the year from very similar if not identical galls of Amphibolips confluens. The work was undoubtedly exact as far it went and, if it covers the complete life cycle of the species, it furnishes the first completed record of alternation. But Walsh, though he attempted to control the insects by confining them in nets placed on the trees, was unable to discover oviposition and it is not yet satisfactorily shown that the complete life cycle of the species has been discovered.",,,,No
150,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluenta,Eastern forest insects,"The Large Oak Apple gall, occurs from southern Canada to Virginia. It produces galls on the leaves or leaf petioles of various oaks, principally red, black, and scarlet. These galls are quite large, from 12 to 50 mm in diameter, and greenish to brownish in color, depending on age.","Quercus rubra,Quercus velutina,Quercus coccinea",198,https://www.biodiversitylibrary.org/page/42155495#page/491/mode/1up,,,,"Canada, Virginia",No
151,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluentus,"""Identification of hardwood insects by type of tree injury, North-Central Region""","The mature insects are small, gall wasps which appear early in the spring; the eggs are laid in the tissues of the leaves or the petioles. The globose galls are 0.5 to 2 inches in diameter and are conspicuous. As they develop, they change from green to brown. One larval cell is in the center of the gall, which is filled with a spongy mass of fibers.
","Quercus rubra,Quercus velutina,Quercus coccinea",54,https://www.biodiversitylibrary.org/page/44990596#page/52/mode/1up,,,,,No
152,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluens,A manual for the study of insects,"This is the largest of our common oak apples, measuring from 1 to 2 inches in diameter. It occurs on several species of oak and is usually attached to a vein or the petiole of a leaf. the space between the larval cell and the outer wall of the gall is filled with a spongy mass of tissue, in which some of the galls there are many radiating fibers, as shown in the figure above, but in other galls these fibers are indistinct, the space being filled with an amorphous mass of tissue.",,,https://www.biodiversitylibrary.org/page/52438127#page/373/mode/1up,,,,,No
153,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluenta,Cynipid galls of the eastern United States,"On Quercus falcata, ilicifolia, marilandica, rubra: Spongy Oak Apple. Aborts the development of the leaf. Agamic females emerge in October.
[Figure caption] Spongy Oak Apple. On Q velutina. Also on Q coccinea, rubra, falcata, marilandica, texana. Galls in NY contained pupae Aug and adults Sept. Adults emerged Nov--all females.","Quercus falcata,Quercus ilicifolia,Quercus marilandica,Quercus rubra,Quercus velutina,Quercus texana",174,https://archive.org/details/cynipidgallseas00weld/page/56/mode/1up?q=confluenta,,,,"NY, CT, ON",No
154,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips spongifica,Cynipid galls of the eastern United States,"On Quercus palustris: Spongy Oak Apple.
[Figure caption section--no figure] Gall similar in size and appearance to [A confluenta] on Q velutina, coccinea, ilicifolia, palustris, rubra, falcata [why doesn't he list these host associations in the main text?] Galls appear with the leaves in spring. Adults of both sexes emerged June, all out by July.","Quercus palustris,Quercus velutina,Quercus coccinea,Quercus ilicifolia,Quercus rubra,Quercus falcata",,https://archive.org/details/cynipidgallseas00weld/page/111/mode/1up?q=spongifica,,,spring,"IL, DC, CT, ON",No
155,Disholcaspis globosa,Disholcaspis globosa,Disholcaspis globosa,American gallflies of the family Cynipidae producing subterranean galls on oak,"Similar to those of Disholscapis globulus (Fitch) in appearance, but less regular in shape and dark red or sometimes yellowish. They occur in clusters at base of 2-3 year old sprouts from stumps and are almost always hidden by debris. Scattering small ones are sometimes seen exposed a few inches above the surface. They are closely crowded together about the base of sprougs and there may be from two or three to as many as forty in the cluster. Each is 8-12 mm in diameter, the interior spongy, with a distinct thin inner shell.","Quercus alba,Quercus montana",4,https://www.biodiversitylibrary.org/page/7563093#page/250/mode/1up,,,,"IL, NY, OK, VA",Yes
156,Disholcaspis globosa,Disholcaspis globosa,Disholcaspis globosa,Cynipid galls of the eastern United States,"On Quercus alba, prinus [montana/michauxii]: Cluster of 3-40 reddish bullet galls, 8-12 mm in dia., at base of sprouts, usually hidden by debris. Adults emerge in late Oct and early Nov.","Quercus alba,Quercus montana,Quercus michauxii",50,https://archive.org/details/cynipidgallseas00weld/page/72/mode/1up?q=globosa,,,,,No
157,Disholcaspis globosa,Disholcaspis globosa,Disholcaspis globosa,Cynipid Galls of the Chicago Area,Individual galls averaging over 7 mm in diameter. Globular bullet galls with a distinct inner cell often free in an irregular cavity within. Up to 40 in a cluster at base of sprouts from stumps of Q alba. Adults emerge in late Oct and early Nov.,Quercus alba,,https://www.biodiversitylibrary.org/page/57505966#page/185/mode/1up,,,,,No
158,Callirhytis gemmiformis,Callirhytis gemmiformis,Andricus gemmiformis,Descriptions of new Cynipidae (1917),"On the trunk of the white oak (Quercus alba), May-October. Monothalamous. Green, sometimes tinged with red. Bud-shaped, elongate, pointed at the apex, thin-walled when mature and hollow inside and containing no separate larval chamber. When young it is more solid. Length 3-4 mm.
The gall is found on the trunk of large, white oak, where the same is gnarly and young shoots sprout forth. It is imbedded in a cavity and may be easily removed. The gall looks exactly like the bud of a young sprout, and may be readily mistaken for such and overlooked. I have found fully developed galls May and June and also late in October.",Quercus alba,,https://www.biodiversitylibrary.org/page/28154038#page/832/mode/1up,,,"May, June, October","NJ, NY, IL",Yes
159,Callirhytis gemmiformis,Callirhytis gemmiformis,Andricus gemmiformis,Key to American Insect Galls,"Bud-shaped, elongate, pointed apically, thin-walled and hollow. Length 3 to 4 mm, on trunk of white oak. ",Quercus alba,,https://www.biodiversitylibrary.org/page/4885255#page/328/mode/1up,,,,,No
160,Callirhytis gemmiformis,Callirhytis gemmiformis,Callirhytis gemmiformis,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,Galls of this species have been collected on Q alba in IL and on Q bicolor in IL. Galls collected in Oct contained pupae in Sept the following year and adults in Nov. These would probably have emerged in the spring after.,"Quercus alba,Quercus bicolor",,https://www.biodiversitylibrary.org/page/7610812#page/362/mode/1up,As the claws are simple the species is here transferred to Callirhytis.,,October,IL,No
161,Callirhytis gemmiformis,Callirhytis gemmiformis,Callirhytis gemmiformis,Cynipid Galls of the Chicago Area,"Conical, greenish becoming brown when mature, 3-4 mm high, from weak dormant buds on limbs or from adventitious buds on trunk of large trees of Q alba in Sept and Oct. Deciduous. Adults emerge the second spring, transforming the fall before.",Quercus alba,,https://www.biodiversitylibrary.org/page/57505970#page/189/mode/1up,,,"September, October",,No
162,Andricus weldi,Andricus weldi,Cynips weldi,Two New Cynipidae,"On the underside of the petiole of the leaf of white oak (Quercus alba) at the junction of the leaf blade, July to October. A rounded ball-like cluster of bright red or brownish galls closely pressed together and out of shape. The individual gall is rounded or tuberculated on the summit, flattened at the sides and pointed at the place of attachment. It is solid when fresh with a single barely visible larval chamber in the center. Late in September and in October the galls become detached, drop to the ground and the larvae continue to feed therein. The gall gradually changes its shape and becomes subtriangular or polyhedral and may be taken for that of another species. The outer shell becomes thin, soft, darker in color, and the inner part is eaten away until only a hard and woody shell remains. Diameter of clusters 8-20 mm. Individual galls 5-10 mm.",Quercus alba,,https://www.biodiversitylibrary.org/item/95656#page/168/mode/1up,,,"July, October","NY, IL, MA, NJ",Yes
163,Andricus weldi,Andricus weldi,Cynips weldi,Cynipid Galls of the Chicago Area,"A globular cluster, 8-20 mm in diameter, on under side of petiole at its junction with the leaf blade, consisting of a dozen or more reddish brown galls, closely pressed together, tuberculate at the distal end, flattened at the sides, tapering to the point of attachment, dropping to the ground in late Sept or Oct before the leaves. On trees of Q alba. The emergence of the flies is in March or early April and distributed over a period of five or six years, none probably appearing until the second spring.",Quercus alba,,https://www.biodiversitylibrary.org/page/57505982#page/201/mode/1up,,,,,No
164,Andricus weldi,Andricus weldi,Adleria weldi,Hymenoptera of American north of Mexico: Synoptic catalog (1951),,Quercus alba,,https://www.biodiversitylibrary.org/page/41967344#page/639/mode/1up,[transferred from Cynips to Adleria],,,"MA, IL, MO, AR, ON, VA",No
165,Andricus weldi,Andricus weldi,Adleria weldi,Cynipid galls of the eastern United States,"On Quercus alba and prinoides: Cluster of 6-10 brown galls, 10 mm in dia. closely pressed together at junction of petiole and leaf blade in fall, dropping singly when mature. Galls drop in Oct. Emergence is distributed over three seasons beginning the second spring.","Quercus alba,Quercus prinoides",,https://archive.org/details/cynipidgallseas00weld/page/44/mode/1up?q=weldi,,,,DC,No
166,Asteromyia euthamiae,Asteromyia euthamiae,Asteromyia euthamiae,The plant-feeding gall midges of North America,Black blister on leaf or stem. Galls are occasionally bordered with purple. Leaf galls may dehisce separately from the leaves. A euthamiae has several generations per year and presumably overwinters as full-grown larvae in the last generation of galls. ,"Euthamia graminifolia,Euthamia leptocephala,Euthamia minor,Euthamia tenuifolia",,,,,,"NS, MN, FL, LA",No
167,Asteromyia carbonifera,Asteromyia carbonifera,Asteromyia carbonifera,The plant-feeding gall midges of North America,"Leaf blister gall. Galls contain a symbiotic fungus that apparently is not eaten by the larva. The fungus turns hard and black and becomes incorporated with the plant tissue as the larva matures. This species is found on most goldenrods and is widely distributed across North America. As the season progresses, galls develop on leaves progressively farther up the stem. The color of the galls is characteristic of the host species. The size is variable also, 5-15 mm in diameter on S canadensis with one to several larvae, 3-4 mm in diam on S juncea with one larva. Hosts: most species of Solidago.",,,,,It is multivoltine. Development from egg to adult takes 4-5 weeks. Eggs are glued to the underside of the leaf. One to more than 10 larvae occur per gall. ,,North America,No
168,Asteromyia modesta,Asteromyia modesta,Asteromyia modesta,The plant-feeding gall midges of North America,"This species is less common on goldenrod than A carbonifera and, unlike the latter, does not have a fungus associted with it but lives simply in the mesophyll layer of the leaf and forms only a single convexity on the leaf. Hosts Erigeron spp., Conyza spp, Grindelia spp.","Solidago flexicaulis,Solidago macrophylla",,,,,,"MN, NH",No
169,Amphibolips globulus,Amphibolips globulus,Amphibolips globulus,The species of Amphibolips and their gall,"On the twigs of black jack oak (Quercus marylandica [marilandica]) in September. Globular, thick-shelled, with a small nipple at the apex. Filled with a very dense mass of radiating spongy substance. Green when fresh, brown when dry. Diameter 14 to 17 mm. The gall very much resembles that of Holcaspis globulus [Disholcaspis quercusglobulus] externally, but the internal structure is very different. ",Quercus marilandica,,http://digitallibrary.amnh.org/bitstream/handle/2246/656//v2/dspace/ingest/pdfSource/bul/B026a06.pdf?sequence=1&isAllowed=y,,,September,NJ,Yes
170,Amphibolips globulus,Amphibolips globulus,Amphibolips globulus,An illustrated catalogue of American insect galls,,,60,https://www.biodiversitylibrary.org/page/33339993#page/101/mode/1up,,,,,No
171,Amphibolips globulus,Amphibolips globulus,Amphibolips globulus,Key to American Insect Galls,"Globular, thick-shelled, slightly nippled twig gall, green, becoming brown, diameter 14 to 17 mm, on Q marilandica.",Quercus marilandica,"F88_3-4, F88_5",https://www.biodiversitylibrary.org/page/4885267#page/340/mode/1up,,,,,No
172,Amphibolips globulus,Amphibolips globulus,Amphibolips globulus,Cynipid galls of the eastern United States,"On Quercus cinerea [incana], falcata, marilandica, phellos: Globular, thick-walled with a slight nipple at apex, 14-17 mm in dia. Sept. Described from NJ.","Quercus incana,Quercus falcata,Quercus marilandica,Quercus phellos",102,https://archive.org/details/cynipidgallseas00weld/page/51/mode/1up?q=globulus,,,,NJ,No
173,Amphibolips quercuscoelebs,Amphibolips quercuscoelebs,Cynips quercus coelebs,On the Cynipidae of the North American Oaks and their Galls,"Quercus rubra. Red Oak. Elongated, fusiform, pale green gall, with a pedicel, inserted on the edge of the leaf and being the prolongation of a leaf-vein. Length about an inch. 
The pedicel is about 0.15-0.2 long; the gall itself is an elongated, subcylindrical body, tapering on both sides, 0.6 or 0.7 long; its apex is slender, about 0.1 or 0.15 long. I have found three specimens of this gall near Washington, in June; two are inserted on the margin of the leaf, not far from the stalk; the third is on the leaf-stalk itself, but so that on the side of the gall the leaf originates about half an inch above its place of insertion, whereas on the other side the beginning of the leaf corresponds exactly to the place of insertion of the gall-stalk. In all the three cases, the gall is the prolongation of a vein; in the latter case, the vein, in consequence of the growth of the leaf, has become entirely independent of the blade and appears to be growing out of the leaf-stalk. 
The inside of these galls is hollow; each contains a brownish, oblong nucleus, kept in position by woody fibers. ",Quercus rubra,,https://www.biodiversitylibrary.org/item/22852#page/80/mode/1up,I am inclined to take it for the male of either Cynips confluens Harris or of an allied species.,,June,DC,Yes
174,Callirhytis seminosa,Callirhytis seminosa,Callirhytis seminosa,Cynipid galls of the eastern United States,"On Quercus palustris, rubra: Abrupt, surface very irregular, cells very numerous.","Quercus rubra,Quercus palustris",128,https://archive.org/details/cynipidgallseas00weld/page/69/mode/1up?q=seminosa,,,,,No
175,Callirhytis seminosa,Callirhytis seminosa,Andricus seminosus,New Species of North American Cynipidae (1890),"Hard, woody knots, sometimes terminating the shoots in a clump of oak sprouts (Q castanea?), but oftener an enlargement of the base of the small lateral branches. In my specimens the terminal galls are an inch in diameter and shaped like a strawberry. The others are about half as large, and of the same shape. All are more or less uneven on the surface. These are all old galls and the outer bark has mostly fallen off, and the entire surface is dotted as thickly as possible with very small, open larval cells. The larger galls must contain, each, several hundreds of these tenantless cells. The cells are distinct from the woody fibre in which they are imbedded, but cannot be separated from it. The galls are easily taken for those of A scitula Bass. and such I took them to be until I found that the insects were very different.  ",,,https://www.biodiversitylibrary.org/item/32322#page/84/mode/1up,[Listed as Andricus (subgenus Callirhytis) seminosus],,,OH,Yes
176,Callirhytis quercuspunctata,Callirhytis quercuspunctata,Callirhytis punctata,Cynipid galls of the eastern United States,"On Quercus cinereae [incana], coccinea, imbricaria, nigra, palustris, rubra, velutina
Oak Knot Gall. Abrupt, completely encircling branch, covered with normal bark. Immature galls cut like cheese. Twig beyond gall usually dies and this has been known to kill isolated trees. Adults emerged Apr. 16. The alternating generation is a small blister on main veins about May 12.","Quercus rubra,Quercus incana,Quercus imbricaria,Quercus palustris,Quercus velutina,Quercus coccinea,Quercus nigra",129,https://archive.org/details/cynipidgallseas00weld/page/51/mode/1up?q=punctata,,,,"MO, NY",No
177,Callirhytis quercuspunctata,Callirhytis quercuspunctata,Cynips quercus punctata,Descriptions of several new species of Cynips and a new species of Diastrophus,"Quercus rubra. A smoothish club-shaped, woody knot, four inches long, and an inch and a half in diameter at the upper and largest end, completely encircling a branch half an inch in diameter. 
This gall was cut from a very young and thrifty oak, April 11. The flies were then fully grown and began to appear in less than a week. No other galls were noticed at the time, but now (Oct) there are several of this year's growth,--some larger and others much smaller than the one described. The new galls were fully grown the middle of June, but no larvae could be detected then. The larvae are now, however, well developed. There are hundreds of other oak trees of the same species near this one, but I have no been able to find any similar galls upon them.",Quercus rubra,,https://www.biodiversitylibrary.org/item/259461#page/335/mode/1up,,,"April, June, October",CT,Yes
178,Acraspis quercushirta,Acraspis quercushirta,Cynips quercus hirta,Descriptions of several new species of Cynips and a new species of Diastrophus,"Quercus montana. Hard, round galls, .25 of an inch in diameter with a finely papillose surface and a solid radiated cellular structure; growing sometimes on the upper, but as often on the under side of the leaf; attached to the larger veins by a very short pedicel. 
These galls are rarely met with, and I have seldom found more than one on a leaf. In a single instance there were three on the same leaf, two on the under side and one on the upper. My specimens were found in October and contained perfect insects. Through the gall of several, gathered October 20th, the insect had eaten a passage but they still remain in the galls. ",Quercus montana,,https://www.biodiversitylibrary.org/item/23810#page/707/mode/1up,"Each contains a single, subapterous female gallfly, closely related to C q. forticornis Walsh and C q. pezomachoides OS. Dr Fitch's figure and description of the gall of C q. pisum answers well for this gall, but his were from a different species of oak and this gall-fly is very distinct from what he describes. ",,October,,Yes
180,Acraspis quercushirta,Acraspis quercushirta,Acraspis hirta,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,Galls agreeing with the Bassett types on rock chestnut oak were collected on Q montana in NY and VA. They are found in September and October. No adults reared. Probably emerge in the fall.,Quercus montana,,https://www.biodiversitylibrary.org/page/7610716#page/326/mode/1up,,,"September, October","NY, VA",No
